code,name,industry
sz002350,北京科锐,电力设备
sz002351,漫步者,电子
sz002352,顺丰控股,交通运输
sz002353,杰瑞股份,机械设备
sz002354,天娱数科,传媒
sz002355,兴民智通,汽车
sz002356,鹏飞绿能,商贸零售
sz002357,富临运业,交通运输
sz002358,森源电气,电力设备
sz002361,神剑股份,基础化工
sz002362,汉王科技,计算机
sz002363,隆基机械,汽车
sz002364,中恒电气,电力设备
sz002365,永安药业,医药生物
sz002366,融发核电,电力设备
sz002367,康力电梯,机械设备
sz002368,太极股份,计算机
sz002369,卓翼科技,电子
sz002370,亚太药业,医药生物
sz002371,北方华创,电子
sz002372,伟星新材,建筑材料
sz002373,千方科技,计算机
sz002374,中锐股份,轻工制造
sz002375,亚厦股份,建筑装饰
sz002376,新北洋,计算机
sz002377,国创高新,石油石化
sz002378,章源钨业,有色金属
sz002379,宏桥控股,有色金属
sz002380,科远智慧,计算机
sz002381,双箭股份,基础化工
sz002382,蓝帆医疗,医药生物
sz002383,合众思壮,国防军工
sz002384,东山精密,电子
